pm_factor,n,mean_wind,mean_resid,r_wind_resid
Alluvial,5859,3.35223730004349,0.094777307321009,0.0577247279029483
Residuum,9852,3.28582944128991,-0.00487199146036533,0.0372258633968904
Colluvium,2789,3.4310804346036,-0.192002374891501,0.226489235788922
Glacial,4225,3.58387574077358,0.20603198441137,0.10803370008209
Volcanic,218,3.50684251588419,-0.338609887863614,-0.0801275190733565
Eolian,1717,3.16192001441085,-0.273281133528793,0.228653078478577
Other,742,3.17912175054499,0.584573535809813,-0.0581393219362173
Lacustrine,190,3.53289473558727,-0.434045419257213,0.208604609860787
Marine,5584,2.85560977742887,-0.179097456452349,0.097589607877872
Organic,287,3.39500580349035,-0.223882252403909,-0.0655407356091876
